step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
371,PAYMENT,21295.21,C412477102,11580.0,0.0,M524812953,0.0,0.0,0,0
284,CASH_OUT,103068.84,C221509523,9090.0,0.0,C2038064394,3205034.84,3308103.68,0,0
578,CASH_OUT,68755.57,C1983934079,68755.57,0.0,C328707077,1555552.28,1624307.85,1,0
1,CASH_OUT,78292.91,C1631227617,0.0,0.0,C1983747920,121112.0,95508.95,0,0
41,PAYMENT,13132.29,C1762318535,279956.89,266824.6,M625173261,0.0,0.0,0,0
329,CASH_IN,189949.24,C2109232856,6060878.77,6250828.02,C1836327815,206660.96,16711.72,0,0
44,TRANSFER,387952.42,C374179954,387952.42,0.0,C1213274351,0.0,0.0,1,0
374,TRANSFER,273914.34,C1408947539,21567.0,0.0,C943933656,88156.33,362070.67,0,0
701,TRANSFER,496420.67,C1524224259,496420.67,0.0,C1792600425,0.0,0.0,1,0
325,PAYMENT,2160.99,C631973318,60256.94,58095.95,M16611850,0.0,0.0,0,0
398,CASH_OUT,293550.85,C1669126076,0.0,0.0,C1782621077,778984.8,1072535.65,0,0
14,CASH_OUT,381052.11,C675128251,0.0,0.0,C393469173,547397.1,928449.21,0,0
395,PAYMENT,46425.85,C611384718,0.0,0.0,M1285572639,0.0,0.0,0,0
129,PAYMENT,1207.17,C1308138860,10973.0,9765.83,M1775665065,0.0,0.0,0,0
155,CASH_OUT,309319.85,C1648072407,0.0,0.0,C1146719991,5933118.71,6242438.56,0,0
396,PAYMENT,51711.5,C485290768,91850.0,40138.5,M1828109822,0.0,0.0,0,0
226,CASH_IN,64673.11,C1702236340,5540559.87,5605232.99,C908294173,256414.73,191741.61,0,0
588,CASH_OUT,13421.28,C1266869176,13421.28,0.0,C1420115027,218083.06,231504.35,1,0
354,CASH_IN,201540.83,C1633193327,6229958.53,6431499.36,C1811439343,1992729.98,1791189.16,0,0
306,CASH_OUT,850530.59,C657363011,850530.59,0.0,C936698630,177074.44,1027605.03,1,0
213,CASH_IN,99597.16,C1175144976,7361916.3,7461513.46,C2026510575,116316.72,16719.56,0,0
300,DEBIT,7475.26,C1461805903,185.0,0.0,C339702296,1581287.64,1588762.91,0,0
357,CASH_IN,259801.83,C2111451671,2781019.74,3040821.57,C274409153,912362.48,652560.65,0,0
154,CASH_OUT,133074.75,C769671570,0.0,0.0,C1291925334,2079443.98,2212518.74,0,0
