estrategia,batch_size,seed,accuracy,precision,recall,f1,tempo
Batch,full,1,0.9175000000000001,0.83818363759896,0.6275,0.715973632940833,1.2879261
Batch,full,2,0.9199999999999999,0.8471806101318797,0.6375,0.7250042163746164,1.2930268752000003
Batch,full,3,0.9191666666666667,0.8487607657593059,0.6275000000000001,0.7202924977507218,1.2931079916000001
Batch,full,4,0.9183333333333333,0.856948045783939,0.6125,0.7126166276581343,1.2979417000000004
Batch,full,5,0.9229166666666668,0.8673458081679609,0.635,0.7319373064512062,1.3502762334000002
Batch,full,6,0.91875,0.8411287961512288,0.6325000000000001,0.7207981375535881,1.3292666669999988
Batch,full,7,0.9204166666666668,0.8597179914429777,0.625,0.7222225090999789,1.3173953585999996
Batch,full,8,0.9158333333333333,0.8363600326904865,0.615,0.7074007592540515,1.2996480164000004
Batch,full,9,0.9208333333333332,0.8603043785310736,0.6275000000000001,0.7245447158756512,1.2738413582000008
Batch,full,10,0.9233333333333335,0.8629234054551851,0.6425000000000001,0.7356459887035427,1.2935801579999988
Mini-batch 64,64,1,0.9633333333333333,0.9489199212781303,0.825,0.881906773234341,0.748790483800002
Mini-batch 64,64,2,0.9629166666666666,0.9457914800938811,0.825,0.8806701190501236,0.7614640669999971
Mini-batch 64,64,3,0.9629166666666666,0.9412707197663993,0.8300000000000001,0.8815434076686521,0.7359678664
Mini-batch 64,64,4,0.9645833333333333,0.9531368133040669,0.8299999999999998,0.8862684828858546,0.9162387916000029
Mini-batch 64,64,5,0.9625,0.9630084033613446,0.8074999999999999,0.8770624028688545,0.6692319748000074
Mini-batch 64,64,6,0.9637500000000001,0.9443924627895637,0.8325000000000001,0.8839608732239039,0.6946155416000039
Mini-batch 64,64,7,0.9620833333333334,0.9383377802213202,0.8275,0.8786974279210685,0.7306243913999992
Mini-batch 64,64,8,0.9658333333333333,0.9428428307523007,0.8474999999999999,0.8918878729793178,1.0281713001999975
Mini-batch 64,64,9,0.9645833333333333,0.9679312696435984,0.8150000000000001,0.8840069701705057,0.7861575080000023
Mini-batch 64,64,10,0.9629166666666666,0.9527346782256186,0.82,0.8796525734617706,0.6912362502000008
Mini-batch 32,32,1,0.9658333333333333,0.9663786855036856,0.825,0.888904019091823,0.7760330416000016
Mini-batch 32,32,2,0.9616666666666667,0.9315898392512878,0.8324999999999999,0.8784658973705503,0.734862508400002
Mini-batch 32,32,3,0.9637499999999999,0.9468802776171197,0.8299999999999998,0.883599440974302,0.8597651502000019
Mini-batch 32,32,4,0.9675,0.9664647675393944,0.835,0.8949666616026063,0.8512180582000013
Mini-batch 32,32,5,0.9645833333333333,0.9466781251861656,0.835,0.8868521075964815,0.9792523416000023
Mini-batch 32,32,6,0.9629166666666666,0.9492067289435709,0.8225,0.8803668799357336,0.8956637582000042
Mini-batch 32,32,7,0.9645833333333333,0.9551470658337097,0.8275,0.8858886417006551,0.6571782415999963
Mini-batch 32,32,8,0.9666666666666668,0.953435460959299,0.8425,0.8934892895219161,0.9265644502000043
Mini-batch 32,32,9,0.9650000000000001,0.9653774193216114,0.82,0.8860166832485541,0.9272187002000066
Mini-batch 32,32,10,0.9625,0.9516511538951932,0.8175000000000001,0.8783657443623593,0.8116091335999954
Stochastic,1,1,0.8529166666666667,0.7319582378405908,0.1625,0.2638371793934794,5.488229766799992
Stochastic,1,2,0.8412499999999999,0.5764705882352941,0.05750000000000001,0.09951874440825445,3.365671508199995
Stochastic,1,3,0.8675,0.578974358974359,0.215,0.3055072994091862,3.9941339331999925
Stochastic,1,4,0.8570833333333333,0.684467673248161,0.175,0.26527173603161447,3.2603277167999978
Stochastic,1,5,0.8458333333333334,0.365967365967366,0.11749999999999998,0.1684047112821032,3.781083600000005
Stochastic,1,6,0.845,0.3916666666666667,0.0725,0.11636851520572451,3.7604299751999974
Stochastic,1,7,0.8483333333333334,0.5136950904392765,0.125,0.17746806039488966,4.263043600000015
Stochastic,1,8,0.8520833333333334,0.7627329192546584,0.12,0.19735297309067945,4.148225258599996
Stochastic,1,9,0.8383333333333333,0.43666666666666665,0.1475,0.20827397260273975,3.333958016800011
Stochastic,1,10,0.85625,0.7894736842105263,0.13999999999999999,0.23191094619666047,4.043167274799998
